"source","snapshot_date","destination","region","hotel","check_in","check_out","nights","meal","stars","transport","price_per_person_eur","price_group_eur","price_per_person_per_night_eur","confidence","archive_url"
"Invia.sk Wayback","2025-07-08","turecko","antalya","club falcon","2025-07-17","2025-07-30","12","All inclusive","","Letecky","2171","4342","18092","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250708180758id_/https://www.invia.sk/hotel/turecko/antalya/club-falcon/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0NTYxNzEzODciLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNjI2LCJjaGVja0luRGF0ZSI6IjIwMjUwNzE3IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MzAiLCJkYXlzQ291bnQiOjE0LCJob3RlbElkIjoyMzE2MSwidG91cklkIjoxOTAxNTc0LCJ0cmFuc3BvcnRhdGlvbklkIjozLCJkZXBhcnR1cmVBaXJwb3J0IjoyMSwib3V0Ym91bmRGbGlnaHREZXBhcnR1cmVEYXRlIjoiMjAyNTA3MTdUMDIwNSIsIm1lYWxJZCI6NSwiZGljdFJvb21JZCI6MTIxMjQ4MzgwMSwiZmxpZ2h0SW5mb0lkIjoxMjU0OTcwNTYzLCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMxLCJsb2NhbGl0eUlkIjoyMjYsIm9yaWdpbmFsVG90YWxQcmljZSI6NDM0Mi4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.mfnGzZDZPj1BEWHMlRhtHqF6ZTXWue5xPLXAd3z_4gg&c_price_unit=2171&c_price_group=4342&nl_nights=12&aid=4800874&adata1=konecna"
"Invia.sk Wayback","2025-07-08","turecko","antalya","delphin imperial","2025-07-29","2025-08-05","7","Ultra All inclusive","","Letecky","2408","4816","344","HIGH - page sample confirmed mealName Ultra All inclusive","https://web.archive.org/web/20250708172730id_/https://www.invia.sk/hotel/turecko/antalya/delphin-imperial/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTkxMjM1NjMiLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNTY1LCJjaGVja0luRGF0ZSI6IjIwMjUwNzI5IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA4MDUiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjg0MTE1LCJ0b3VySWQiOjE3OTQ1MzgsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjE2LCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGUiOm51bGwsIm1lYWxJZCI6MTEsImRpY3RSb29tSWQiOjEwNDYwNzQ4NzgsImZsaWdodEluZm9JZCI6MTA4NzY0NzczNywicGFzc2VuZ2VycyI6IkFBIiwiY291bnRyeUlkIjozMSwibG9jYWxpdHlJZCI6MjI2LCJvcmlnaW5hbFRvdGFsUHJpY2UiOjQ4MTYuMCwib3JpZ2luYWxDdXJyZW5jeUlkIjozfQ.T67wIJ7jQ8yihmwZ-ztbsUdPM9c3fl4CAp4kBE34FGc&c_price_unit=2408&c_price_group=4816&aid=4800874&adata1=konecna"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","festa panorama","2025-07-07","2025-07-14","7","All inclusive","","Letecky","1002","2005","14314","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250709164452id_/https://www.invia.sk/hotel/bulharsko/nesebar/festa-panorama/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTEwMjk2OTUiLCJ0b3VyT3BlcmF0b3JJZCI6MTAyNTQ3LCJjaGVja0luRGF0ZSI6IjIwMjUwNzA3IiwiY2hlY2tPdXREYXRlIjoiMjAyNTA3MTQiLCJkYXlzQ291bnQiOjgsImhvdGVsSWQiOjMwNzgwLCJ0b3VySWQiOjE3NjQxMjcsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjIxLCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGUiOm51bGwsIm1lYWxJZCI6NSwiZGljdFJvb21JZCI6OTk0MTA3MTUxLCJmbGlnaHRJbmZvSWQiOjEwODg2NTQxMDksInBhc3NlbmdlcnMiOiJBQSIsImNvdW50cnlJZCI6MzIsImxvY2FsaXR5SWQiOjI1NSwib3JpZ2luYWxUb3RhbFByaWNlIjoyMDA1LjAsIm9yaWdpbmFsQ3VycmVuY3lJZCI6M30.08B-ELM7ZllvotxFDE2omfIlyl0idyUcjF8rWUf4YPY&c_price_unit=1002&c_price_group=2005&nl_nights=7&aid=1128715"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","kamenec","2025-07-10","2025-07-24","14","All inclusive","","Letecky","1104","2208","7886","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250709152859id_/https://www.invia.sk/hotel/bulharsko/nesebar/kamenec/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MDkwMTQ4ODQiLCJ0b3VyT3BlcmF0b3JJZCI6NjMsImNoZWNrSW5EYXRlIjoiMjAyNTA3MTAiLCJjaGVja091dERhdGUiOiIyMDI1MDcyNCIsImRheXNDb3VudCI6MTUsImhvdGVsSWQiOjk4MzAzLCJ0b3VySWQiOjE2NjM3NjUsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjUsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzEwVDA0MDAiLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjk4NDkyNTgzNSwiZmxpZ2h0SW5mb0lkIjoxMDQ5NDc4NTE5LCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMyLCJsb2NhbGl0eUlkIjoyNTUsIm9yaWdpbmFsVG90YWxQcmljZSI6MjIwOC4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.DBe_fhV7h9awVFakxAiguJlk65042zZjlCG6s2IcGio&c_price_unit=1104&c_price_group=2208&nl_nights=14&aid=1128715"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","festa panorama","2025-07-10","2025-07-18","8","Ultra All inclusive","","Letecky","1184","2367","148","HIGH - page sample confirmed mealName Ultra All inclusive","https://web.archive.org/web/20250709161425id_/https://www.invia.sk/hotel/bulharsko/nesebar/festa-panorama/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTU0Nzc1NjQiLCJ0b3VyT3BlcmF0b3JJZCI6NjMsImNoZWNrSW5EYXRlIjoiMjAyNTA3MTAiLCJjaGVja091dERhdGUiOiIyMDI1MDcxOCIsImRheXNDb3VudCI6OSwiaG90ZWxJZCI6MzA3ODAsInRvdXJJZCI6MTA1MzIxOSwidHJhbnNwb3J0YXRpb25JZCI6MywiZGVwYXJ0dXJlQWlycG9ydCI6MSwib3V0Ym91bmRGbGlnaHREZXBhcnR1cmVEYXRlIjoiMjAyNTA3MTBUMDYwMCIsIm1lYWxJZCI6MTEsImRpY3RSb29tSWQiOjk5NDg0NTA3MCwiZmxpZ2h0SW5mb0lkIjoxMDcxMTYzOTUwLCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMyLCJsb2NhbGl0eUlkIjoyNTUsIm9yaWdpbmFsVG90YWxQcmljZSI6MjM2Ny4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.sdowTMaK2EUj-CUqxSsYbK6-bmn4YWjnm-oNVieGxgI&c_price_unit=1184&c_price_group=2367&nl_nights=8&aid=1128715"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","sol nessebar palace","2025-07-09","2025-07-16","7","All inclusive","","Letecky","1355","2711","19357","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250709155212id_/https://www.invia.sk/hotel/bulharsko/nesebar/sol-nessebar-palace/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTAzMzY5MTkiLCJ0b3VyT3BlcmF0b3JJZCI6MTgsImNoZWNrSW5EYXRlIjoiMjAyNTA3MDkiLCJjaGVja091dERhdGUiOiIyMDI1MDcxNiIsImRheXNDb3VudCI6OCwiaG90ZWxJZCI6MjkwODAsInRvdXJJZCI6ODMxOTU5LCJ0cmFuc3BvcnRhdGlvbklkIjozLCJkZXBhcnR1cmVBaXJwb3J0IjozLCJvdXRib3VuZEZsaWdodERlcGFydHVyZURhdGUiOm51bGwsIm1lYWxJZCI6NSwiZGljdFJvb21JZCI6OTkyMTE2NTE3LCJmbGlnaHRJbmZvSWQiOjEwNDY4MzU2NzgsInBhc3NlbmdlcnMiOiJBQSIsImNvdW50cnlJZCI6MzIsImxvY2FsaXR5SWQiOjI1NSwib3JpZ2luYWxUb3RhbFByaWNlIjoyNzExLjAsIm9yaWdpbmFsQ3VycmVuY3lJZCI6M30.plP8y35PyGc3Vy9-MSQ3hBkNiPCS7gVKNYC-tMvIMBI&c_price_unit=1355&c_price_group=2711&nl_nights=7&aid=1128715"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","festa panorama","2025-07-09","2025-07-19","10","Ultra All inclusive","","Letecky","1369","2737","1369","HIGH - page sample confirmed mealName Ultra All inclusive","https://web.archive.org/web/20250709151715id_/https://www.invia.sk/hotel/bulharsko/nesebar/festa-panorama/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTU1MTQyODkiLCJ0b3VyT3BlcmF0b3JJZCI6NjMsImNoZWNrSW5EYXRlIjoiMjAyNTA3MDkiLCJjaGVja091dERhdGUiOiIyMDI1MDcxOSIsImRheXNDb3VudCI6MTEsImhvdGVsSWQiOjMwNzgwLCJ0b3VySWQiOjEwNTMyMTksInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjMsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzA5VDE2NTAiLCJtZWFsSWQiOjExLCJkaWN0Um9vbUlkIjo5OTQ4NDUwNzAsImZsaWdodEluZm9JZCI6MTA5MzA2OTQ1MCwicGFzc2VuZ2VycyI6IkFBIiwiY291bnRyeUlkIjozMiwibG9jYWxpdHlJZCI6MjU1LCJvcmlnaW5hbFRvdGFsUHJpY2UiOjI3MzcuMCwib3JpZ2luYWxDdXJyZW5jeUlkIjozfQ.41xGiMBrLqv-SYU_yn2ssT0pQ-NpsJwTERYqvGB4Xu0&c_price_unit=1369&c_price_group=2737&nl_nights=10&aid=1128715"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","sol marina palace ex marina palace","2025-07-04","2025-07-14","10","All inclusive","","Letecky","1451","2902","1451","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250709153041id_/https://www.invia.sk/hotel/bulharsko/nesebar/sol-marina-palace-ex-marina-palace/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTg5NDY0MjkiLCJ0b3VyT3BlcmF0b3JJZCI6NjMsImNoZWNrSW5EYXRlIjoiMjAyNTA3MDQiLCJjaGVja091dERhdGUiOiIyMDI1MDcxNCIsImRheXNDb3VudCI6MTEsImhvdGVsSWQiOjg1NDIzLCJ0b3VySWQiOjE4NzA4NjgsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjEsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzA0VDA2MDAiLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjk4NDk0NDE3NywiZmxpZ2h0SW5mb0lkIjoxMDg2OTk2NDQxLCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMyLCJsb2NhbGl0eUlkIjoyNTUsIm9yaWdpbmFsVG90YWxQcmljZSI6MjkwMi4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.4w-OCkVvnnadgmnmF_7rO_7Kki1R4ULU5Lxxh2xkXYQ&aid=1128715&c_price_group=2902&c_price_unit=1451&nl_nights=10"
"Invia.sk Wayback","2025-07-09","bulharsko","nesebar","sol marina palace ex marina palace","2025-07-09","2025-07-23","14","All inclusive","","Letecky","1911","3821","1365","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250709164047id_/https://www.invia.sk/hotel/bulharsko/nesebar/sol-marina-palace-ex-marina-palace/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTg5NDY1NzgiLCJ0b3VyT3BlcmF0b3JJZCI6NjMsImNoZWNrSW5EYXRlIjoiMjAyNTA3MDkiLCJjaGVja091dERhdGUiOiIyMDI1MDcyMyIsImRheXNDb3VudCI6MTUsImhvdGVsSWQiOjg1NDIzLCJ0b3VySWQiOjE4NzA4NjgsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjMsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzA5VDA5NTUiLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjk4NDk0NDE3NywiZmxpZ2h0SW5mb0lkIjoxMTI2MjIxMjk2LCJwYXNzZW5nZXJzIjoiQUEiLCJjb3VudHJ5SWQiOjMyLCJsb2NhbGl0eUlkIjoyNTUsIm9yaWdpbmFsVG90YWxQcmljZSI6MzgyMS4wLCJvcmlnaW5hbEN1cnJlbmN5SWQiOjN9.cGQzQtB7j-joKeJ3lek2up-RxIWoj1i8ciFAkpXuZS8&aid=1128715&c_price_group=3821&c_price_unit=1911&nl_nights=14"
"Invia.sk Wayback","2025-07-16","kanarske-ostrovy","fuerteventura","barcelo fuerteventura mar ex fuerteventura thalasso","2025-07-03","2025-07-17","14","All inclusive","","Letecky","2383","4765","17021","MEDIUM - mealId 5 and page description indicates All Inclusive; sample mealName was null","https://web.archive.org/web/20250716211925id_/https://www.invia.sk/hotel/kanarske-ostrovy/fuerteventura/barcelo-fuerteventura-mar-ex-fuerteventura-thalasso/zajazd/?s_offer_id=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwcm92aWRlclByZWZpeCI6IklOVkYiLCJ0ZXJtSWQiOiI0MTc3MjI0NzIiLCJ0b3VyT3BlcmF0b3JJZCI6NiwiY2hlY2tJbkRhdGUiOiIyMDI1MDcwMyIsImNoZWNrT3V0RGF0ZSI6IjIwMjUwNzE3IiwiZGF5c0NvdW50IjoxNSwiaG90ZWxJZCI6MjAwOSwidG91cklkIjo4NDIyMDYsInRyYW5zcG9ydGF0aW9uSWQiOjMsImRlcGFydHVyZUFpcnBvcnQiOjEsIm91dGJvdW5kRmxpZ2h0RGVwYXJ0dXJlRGF0ZSI6IjIwMjUwNzAzVDExMzAiLCJtZWFsSWQiOjUsImRpY3RSb29tSWQiOjE2MDUyMDAxLCJmbGlnaHRJbmZvSWQiOjEwODM2ODk4MzEsInBhc3NlbmdlcnMiOiJBQSIsImNvdW50cnlJZCI6OSwibG9jYWxpdHlJZCI6MTkxLCJvcmlnaW5hbFRvdGFsUHJpY2UiOjQ3NjUuMCwib3JpZ2luYWxDdXJyZW5jeUlkIjozfQ.n61QlbSm5-G6aureUYEoP3CJbEW8aNAziVSECeo8ce4&c_price_unit=2383&c_price_group=4765&nl_nights=14&aid=1128715"
